churned,tx_count_obs_avg_per_year,tx_count_label,tx_count_1997,avg_balance_label,avg_balance_obs,balance_ratio
0,59.0,63.0,66.0,33200.926984126985,36503.28181818182,0.9095326592687353
0,93.0,95.0,99.0,56454.6652631579,50388.437373737375,1.120389283843564
0,80.4,77.0,82.0,39069.74025974026,32412.78780487805,1.2053804348745452
0,73.4,68.0,60.0,52962.32352941176,39553.295000000006,1.3390116684188196
0,93.6,96.0,100.0,46424.821875,31674.782000000003,1.4656713935710748
0,61.4,62.0,67.0,22414.93064516129,23739.801492537314,0.9441919997607182
0,72.4,90.0,63.0,27123.031111111108,1134.6698412698413,23.903897084950238
1,84.0,77.0,93.0,17150.164935064935,25728.93010752688,0.6665712434753644
0,101.6,100.0,105.0,28995.499,26395.814285714285,1.0984885211778708
0,72.8,95.0,86.0,102819.93578947369,74856.66162790699,1.373557590646573
0,101.2,96.0,107.0,25124.815625,30838.983177570095,0.8147095992216066
0,70.0,72.0,73.0,50583.958333333336,49410.367123287666,1.0237519224886014
0,59.8,58.0,63.0,29131.898275862066,22768.998412698413,1.2794545349704545
0,59.0,53.0,57.0,26415.192452830186,18324.9350877193,1.4414890053571148
0,99.6,107.0,112.0,57232.2785046729,56769.82232142857,1.0081461622448968
0,67.0,65.0,70.0,54923.515384615384,54380.75714285715,1.0099807040261028
0,68.8,70.0,73.0,6805.639999999999,7324.902739726028,0.9291099475069002
0,53.2,55.0,55.0,42396.9490909091,36823.42,1.1513582684853578
0,76.4,65.0,72.0,17849.521538461537,15675.480555555558,1.1386905476486637
0,68.4,74.0,73.0,33276.22432432433,31987.508219178082,1.0402881054790507
0,63.0,85.0,58.0,80120.92588235294,52952.22586206897,1.513079470748851
1,91.4,94.0,98.0,22249.18085106383,33557.90612244898,0.6630086147174709
0,70.8,72.0,72.0,25394.17638888889,21965.505555555555,1.156093417684445
0,70.4,70.0,74.0,44951.72857142857,35100.79054054054,1.2806471842709763
0,56.8,65.0,60.0,30926.590769230766,25033.846666666668,1.2353910759711757
0,58.2,68.0,60.0,24031.04117647059,19916.693333333336,1.20657785779386
0,61.0,75.0,51.0,81586.808,19763.494117647057,4.128157071534743
0,79.8,71.0,99.0,65582.95492957746,77512.31717171718,0.8460972052259519
0,59.0,56.0,62.0,19098.032142857144,21192.64677419355,0.9011631414587142
0,77.6,81.0,77.0,66853.91851851852,61701.03116883117,1.0835137963186972
0,56.0,59.0,62.0,26923.9,27510.677419354837,0.9786709207334162
0,61.8,63.0,66.0,62738.28571428572,46567.05303030303,1.3472676845893474
0,68.0,71.0,68.0,17314.038028169012,15390.839705882352,1.1249573355995395
0,61.4,64.0,74.0,47677.1484375,44957.28783783784,1.0604987696204622
0,65.8,56.0,55.0,26377.366071428572,21135.91090909091,1.2479881366306869
0,104.2,107.0,110.0,41563.48691588785,28955.14909090909,1.4354437197126138
0,55.4,55.0,61.0,19329.234545454543,21010.539344262295,0.9199780276336935
0,81.4,78.0,75.0,22320.728205128205,19709.938666666665,1.1324605612739371
0,59.2,62.0,65.0,18000.506451612902,18497.887692307693,0.9731114574286432
0,69.2,73.0,71.0,57188.79863013698,56079.633802816905,1.0197783892673058
0,94.8,118.0,93.0,75232.05084745762,56641.19247311828,1.328221521521859
0,80.8,82.0,87.0,16236.120731707317,16640.171264367815,0.9757183669421897
0,66.8,59.0,72.0,66854.42542372881,81753.81944444444,0.8177529304200831
0,65.2,65.0,74.0,59694.43076923077,58613.09594594594,1.018448689765203
0,76.6,79.0,78.0,65309.148101265826,67140.16282051282,0.9727284736538115
0,67.0,70.0,68.0,22572.258571428574,20592.604411764707,1.096134229555387
0,91.6,98.0,98.0,49339.42857142857,45213.76428571429,1.0912479717380625
0,102.2,109.0,109.0,41335.52201834863,46362.09816513761,0.8915800547057907
0,56.2,61.0,63.0,24287.431147540985,24050.84285714286,1.009837006204041
0,82.0,74.0,74.0,27773.317567567567,22733.295945945945,1.2217021954759892
0,62.0,64.0,63.0,45322.3046875,28675.628571428573,1.5805165203129188
0,80.4,85.0,88.0,70762.90705882352,54179.97613636364,1.3060712112667399
0,56.8,64.0,60.0,19696.634375,18921.661666666667,1.0409569054761487
0,74.4,69.0,69.0,47938.25362318841,31222.111594202903,1.5353943463609052
0,59.6,60.0,63.0,66802.31,48367.4126984127,1.381142928122601
0,65.8,70.0,73.0,21326.087142857144,21179.175342465755,1.006936615709339
0,57.2,63.0,63.0,23846.35238095238,25181.879365079363,0.9469647612568978
0,111.8,106.0,116.0,21372.53962264151,19974.397413793104,1.06999671528929
0,60.0,67.0,64.0,31295.56417910448,29979.240625,1.0439078351106328
0,72.6,69.0,72.0,56692.04927536232,67539.40694444445,0.8393921688118348
0,65.4,60.0,68.0,59086.88833333333,69847.06470588235,0.8459466204076171
0,9.8,0.0,2.0,,8450.0,
0,92.6,95.0,100.0,66625.81789473684,68557.518,0.9718236575416404
0,92.6,94.0,101.0,37744.31808510638,46595.01386138614,0.8100505817508847
0,93.2,97.0,97.0,88889.87835051546,73716.65773195877,1.2058316408447065
0,51.0,43.0,51.0,27902.52558139535,27672.60196078431,1.0083087098544934
0,90.8,93.0,98.0,42253.25161290322,37448.950000000004,1.1282893542516736
0,71.0,72.0,82.0,56524.28472222222,41946.78414634146,1.3475236748787138
0,54.0,62.0,59.0,16910.372580645162,19100.18305084746,0.8853513359336554
0,79.8,82.0,82.0,46119.486585365856,29326.050000000003,1.5726457052813403
0,68.6,68.0,71.0,23807.888235294115,23668.73661971831,1.0058791315232212
0,105.4,122.0,121.0,71693.2106557377,72399.82727272727,0.9902400786906883
0,58.0,59.0,61.0,24394.418644067795,31204.872131147542,0.7817503158334751
0,60.8,69.0,63.0,37845.57971014493,38913.50476190476,0.9725564413101823
0,61.6,61.0,62.0,37641.97049180328,29349.479032258063,1.2825430546971865
1,91.0,88.0,99.0,28880.761363636364,42279.941414141416,0.6830842332713495
0,76.0,84.0,86.0,104647.85476190477,82136.15348837209,1.2740778611786299
0,95.8,105.0,105.0,63729.82571428572,67563.22095238096,0.9432621005325214
0,80.8,86.0,87.0,83261.90813953488,83218.78390804598,1.0005182030962692
0,100.8,106.0,108.0,73247.85094339623,63987.96944444445,1.1447128511710531
0,77.8,84.0,88.0,51711.68214285714,59465.89886363636,0.869602295282533
1,31.8,29.0,33.0,19994.03103448276,31654.96363636364,0.631623882565912
0,72.0,72.0,72.0,47177.84027777778,32998.66527777778,1.4296893489673552
0,68.4,70.0,72.0,88755.18285714285,61769.74444444444,1.4368714595698069
0,72.2,73.0,79.0,31878.698630136987,31412.77341772152,1.0148323488098194
1,12.0,20.0,12.0,8334.07,16241.666666666666,0.5131289892252437
0,61.0,56.0,60.0,22157.14107142857,26986.748333333333,0.8210378218875908
0,57.4,62.0,59.0,23812.398387096775,20825.194915254237,1.1434418013372083
