account_id,district_id,frequency,tenure_days,tx_count,tx_amount_mean,tx_amount_std,balance_mean,balance_min,balance_last,tx_count_per_year,has_loan,has_card,n_orders,order_amount_sum,n_inhabitants,n_muni_lt499,n_muni_500_1999,n_muni_2000_9999,n_muni_gt10000,n_cities,urban_ratio,avg_salary,unemp_95,unemp_96,n_entrepreneurs_per1000,crimes_95,crimes_96,churned
576,55,POPLATEK MESICNE,1825,295,2438.7200000000003,2551.857376855048,27017.184745762712,900.0,39623.1,59.040410958904104,0,0,1.0,3662.0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,0
3818,74,POPLATEK MESICNE,1825,465,4879.491827956989,6289.0362985140955,44436.76924731183,600.0,68648.6,93.06369863013698,0,0,3.0,9135.0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0
704,55,POPLATEK MESICNE,1825,402,5594.265174129354,7334.015572922614,34271.866915422885,1000.0,49038.9,80.45506849315068,0,0,2.0,3338.0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,0
2378,16,POPLATEK MESICNE,1825,367,12689.866757493188,14782.615112026453,54981.70217983651,700.0,18234.7,73.45027397260273,0,0,1.0,9612.0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874.0,1913,0
2632,24,POPLATEK MESICNE,1824,468,3922.6376068376067,5298.952229892766,32210.223076923077,1100.0,47545.1,93.71546052631578,0,0,3.0,4383.0,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,0
1972,77,POPLATEK MESICNE,1824,307,2035.217263843648,1999.3259883539558,22784.002280130295,400.0,22238.9,61.475740131578945,0,0,1.0,2736.0,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460.0,3590,0
1539,1,POPLATEK PO OBRATU,1823,362,7365.15635359116,9649.796268819566,21217.570718232044,-14063.1,-6806.7,72.52907295666483,0,0,0.0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
793,47,POPLATEK MESICNE,1823,420,966.6661904761904,1142.631913202578,24286.43619047619,800.0,14920.8,84.14975315414152,0,0,3.0,2267.0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079.0,5410,1
2484,74,POPLATEK MESICNE,1823,508,3781.194094488189,5487.587794063865,30731.24409448819,1100.0,37447.4,101.78113000548545,0,0,4.0,4870.0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0
1695,76,POPLATEK MESICNE,1823,364,12576.83324175824,14079.882497096078,57795.136538461535,200.0,101761.8,72.92978606692265,0,1,1.0,14658.0,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736.0,2807,0
1726,48,POPLATEK MESICNE,1823,506,3684.967391304348,5255.7403118728635,26989.85039525692,1000.0,34807.9,101.38041689522764,0,0,4.0,6709.0,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655.0,1717,0
2881,70,POPLATEK MESICNE,1822,350,3165.636857142857,3264.329815294651,35191.300285714286,700.0,54861.8,70.16328210757409,0,0,1.0,4639.0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0
2357,19,POPLATEK MESICNE,1822,299,2526.076254180602,2720.3385465767474,22643.33779264214,800.0,29626.2,59.93948957189901,0,0,1.0,3869.0,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999.0,1099,0
2177,62,POPLATEK MESICNE,1822,295,2063.7783050847456,2067.5280952455696,21345.31084745763,800.0,17417.4,59.13762349066959,0,0,1.0,3168.0,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719.0,2906,0
485,6,POPLATEK PO OBRATU,1822,498,8875.851807228915,11703.41647030091,47909.182128514054,300.0,81816.3,99.83232711306256,0,0,4.0,15213.6,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640.0,3120,0
652,21,POPLATEK MESICNE,1821,335,5403.005671641791,5711.755605844485,45117.927761194034,700.0,53219.6,67.19316309719933,0,0,1.0,7591.0,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299.0,2354,0
9635,70,POPLATEK MESICNE,1821,344,1552.6767441860466,1914.4381428149054,7398.8348837209305,-2725.6,8620.4,68.998352553542,0,0,0.0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0
1844,44,POPLATEK MESICNE,1820,266,1367.6857142857143,1376.3738488763217,27716.843984962405,500.0,39256.8,53.3826923076923,0,0,1.0,2161.0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0
1926,37,POPLATEK MESICNE,1820,382,1828.5528795811517,1908.4517302371648,20320.202094240838,700.0,18686.5,76.66236263736263,0,0,2.0,3004.0,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147.0,4166,0
2393,10,POPLATEK MESICNE,1819,342,4152.466374269005,4433.457409848027,30276.71842105263,900.0,35922.3,68.67262231995602,0,0,2.0,5545.0,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810.0,4316,0
3510,41,POPLATEK MESICNE,1819,315,13086.819047619048,15454.834919114746,61598.74793650794,500.0,75809.4,63.251099505222655,0,0,0.0,0.0,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0
1276,36,POPLATEK MESICNE,1819,457,2169.009409190372,2638.630693542938,29834.223851203504,400.0,33522.7,91.76429356789446,0,0,3.0,4516.0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796.0,6132,1
1637,1,POPLATEK MESICNE,1818,354,1883.017231638418,2088.8353305612227,21211.168079096045,500.0,30902.3,71.12128712871288,0,0,2.0,3343.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
3871,26,POPLATEK MESICNE,1818,352,1389.29375,1587.8280647861882,32437.41619318182,300.0,40205.3,70.71947194719472,0,0,2.0,1658.0,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041.0,6261,0
192,55,POPLATEK MESICNE,1818,284,2360.985211267606,2423.95874783984,24916.3,300.0,32458.4,57.05775577557756,0,0,1.0,3583.0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,0
